Entity,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,4.0,3.0,5.0,5.0,16.0,15.0,11.0,25.0,35.0,33.0,25.0,23.0,21.0,18.0,12.0,20.0,31.0,28.0,27.0,27.0,24.0,33.0,36.0,41.0,50.0,58.0,58.0,63.0,64.0,63.0,66.0,68.0,67.0,64.0,62.0,64.0,66.0,66.0,72.0,72.0,70.0,66.0
Albania,ALB,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,94.0,94.0,78.0,94.0,96.0,99.0,97.0,98.0,99.0,96.0,97.0,97.0,97.0,98.0,97.0,97.0,98.0,97.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,98.0,98.0
Algeria,DZA,,,,,,69.0,73.0,79.0,85.0,87.0,89.0,89.0,88.0,88.0,87.0,88.0,88.0,89.0,85.0,83.0,86.0,89.0,86.0,87.0,86.0,88.0,95.0,95.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,91.0,91.0,91.0,91.0,91.0,91.0
Andorra,AND,,,,,,,,,,,,,,,,,,90.0,89.0,90.0,98.0,96.0,97.0,99.0,99.0,98.0,93.0,96.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0
Angola,AGO,,,,6.0,8.0,8.0,10.0,10.0,12.0,18.0,24.0,26.0,21.0,30.0,27.0,24.0,28.0,41.0,47.0,21.0,31.0,42.0,47.0,46.0,47.0,47.0,44.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,59.0,59.0,56.0,63.0,57.0,51.0,45.0
Antigua and Barbuda,ATG,54.0,79.0,79.0,99.0,94.0,99.0,96.0,97.0,98.0,99.0,99.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,97.0,98.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,92.0,95.0,95.0,95.0,96.0,92.0
Argentina,ARG,44.0,49.0,58.0,61.0,62.0,66.0,67.0,75.0,80.0,80.0,87.0,80.0,81.0,81.0,82.0,85.0,83.0,88.0,84.0,86.0,83.0,83.0,93.0,96.0,98.0,98.0,91.0,91.0,93.0,94.0,94.0,91.0,91.0,94.0,94.0,94.0,92.0,86.0,86.0,83.0,74.0,76.0
Armenia,ARM,,,,,,,,,,,,,85.0,85.0,86.0,98.0,86.0,88.0,82.0,91.0,93.0,94.0,94.0,94.0,91.0,90.0,87.0,88.0,89.0,93.0,94.0,95.0,95.0,95.0,93.0,94.0,94.0,94.0,92.0,92.0,91.0,93.0
Australia,AUS,33.0,40.0,48.0,55.0,62.0,68.0,75.0,81.0,88.0,93.0,95.0,93.0,91.0,90.0,88.0,86.0,86.0,77.0,82.0,88.0,90.0,92.0,92.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,91.0,92.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0
Austria,AUT,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,82.0,74.0,81.0,84.0,83.0,84.0,83.0,86.0,83.0,85.0,83.0,83.0,86.0,89.0,92.0,95.0,98.0,93.0,87.0,90.0,85.0,85.0,85.0,85.0
Azerbaijan,AZE,,,,,,,,,,,,,58.0,66.0,69.0,74.0,74.0,70.0,73.0,75.0,76.0,77.0,76.0,77.0,77.0,75.0,78.0,79.0,81.0,81.0,81.0,87.0,89.0,93.0,94.0,96.0,97.0,95.0,95.0,94.0,79.0,89.0
Bahamas,BHS,36.0,55.0,69.0,65.0,69.0,86.0,85.0,85.0,85.0,86.0,86.0,92.0,92.0,91.0,91.0,87.0,85.0,86.0,89.0,82.0,99.0,99.0,94.0,92.0,93.0,93.0,95.0,95.0,93.0,96.0,99.0,98.0,98.0,97.0,96.0,95.0,94.0,94.0,90.0,89.0,83.0,75.0
Bahrain,BHR,72.0,75.0,79.0,83.0,86.0,90.0,92.0,95.0,96.0,96.0,94.0,99.0,94.0,94.0,96.0,95.0,96.0,98.0,98.0,97.0,97.0,99.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,97.0,99.0,99.0,98.0,98.0
Bangladesh,BGD,,1.0,1.0,1.0,1.0,2.0,4.0,9.0,16.0,49.0,69.0,74.0,66.0,74.0,84.0,69.0,77.0,78.0,77.0,80.0,82.0,85.0,83.0,87.0,99.0,93.0,94.0,94.0,96.0,97.0,94.0,96.0,94.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Barbados,BRB,60.0,58.0,62.0,69.0,83.0,83.0,79.0,79.0,76.0,78.0,91.0,82.0,90.0,86.0,90.0,93.0,85.0,96.0,93.0,87.0,93.0,84.0,87.0,89.0,93.0,92.0,84.0,93.0,85.0,93.0,86.0,91.0,87.0,91.0,94.0,97.0,97.0,90.0,95.0,90.0,85.0,82.0
Belarus,BLR,,,,,,,,,,,,,90.0,91.0,92.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,50.0,99.0,99.0,99.0,95.0,97.0,96.0,98.0,98.0,98.0,98.0,97.0,99.0,98.0,97.0,97.0,98.0,97.0,98.0
Belgium,BEL,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,80.0,94.0,93.0,92.0,95.0,97.0,96.0,94.0,95.0,87.0,79.0,87.0,95.0,95.0,95.0,95.0,95.0,97.0,98.0,98.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,98.0
Belize,BLZ,47.0,44.0,61.0,59.0,53.0,58.0,82.0,85.0,61.0,79.0,91.0,82.0,74.0,85.0,88.0,83.0,85.0,86.0,87.0,87.0,91.0,96.0,89.0,96.0,97.0,96.0,98.0,96.0,94.0,97.0,96.0,95.0,98.0,95.0,95.0,94.0,95.0,88.0,96.0,98.0,79.0,83.0
Benin,BEN,,,,,,17.0,17.0,25.0,30.0,48.0,74.0,69.0,73.0,75.0,81.0,67.0,66.0,66.0,70.0,74.0,78.0,76.0,75.0,73.0,72.0,70.0,74.0,82.0,75.0,79.0,76.0,75.0,80.0,77.0,74.0,74.0,76.0,76.0,76.0,76.0,72.0,76.0
Bhutan,BTN,6.0,13.0,15.0,16.0,28.0,41.0,53.0,63.0,70.0,76.0,96.0,91.0,86.0,79.0,86.0,87.0,87.0,87.0,86.0,90.0,92.0,88.0,86.0,95.0,89.0,95.0,95.0,95.0,96.0,93.0,91.0,95.0,97.0,97.0,99.0,99.0,98.0,98.0,97.0,97.0,95.0,98.0
Bolivia,BOL,11.0,13.0,12.0,10.0,6.0,33.0,42.0,35.0,28.0,52.0,41.0,43.0,45.0,52.0,58.0,64.0,61.0,58.0,61.0,77.0,75.0,71.0,77.0,88.0,84.0,85.0,83.0,84.0,88.0,93.0,91.0,95.0,93.0,87.0,85.0,89.0,87.0,84.0,83.0,75.0,68.0,70.0
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,58.0,38.0,82.0,55.0,67.0,79.0,89.0,90.0,85.0,91.0,80.0,87.0,84.0,93.0,87.0,95.0,91.0,90.0,89.0,88.0,92.0,89.0,86.0,82.0,78.0,75.0,73.0,73.0,73.0,73.0
Botswana,BWA,71.0,75.0,82.0,82.0,83.0,84.0,86.0,88.0,88.0,92.0,92.0,93.0,94.0,94.0,94.0,95.0,96.0,96.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Brazil,BRA,37.0,47.0,56.0,60.0,68.0,66.0,58.0,58.0,58.0,56.0,66.0,78.0,71.0,75.0,74.0,81.0,77.0,79.0,93.0,94.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,97.0,93.0,96.0,89.0,89.0,87.0,70.0,77.0,68.0
